date,reserve_stress,lending_stress,lending_to_reserve_stress,rate_stress,reserve_drawdown_stress,lending_surge_stress,warning_index,warning_score,reserve_pct_change_4w,reserve_pct_change_8w,crisis_lending_pct_change_4w,crisis_lending_pct_change_8w,reserve_ratio_pct_change_4w,reserve_ratio_pct_change_8w,lending_to_reserve_pct_change_4w,lending_to_reserve_pct_change_8w,bank_rate_change_4w,bank_rate_change_8w,reserve_ratio_gap_52w,crisis_lending_gap_52w,lending_to_reserve_gap_52w
1869-09-08,-0.5410483292753409,-0.634227147588166,-0.43337754107550774,-0.8653546721764024,-0.21366437894609813,-0.14753260035796445,-0.4725341115699133,16.885119506553586,0.02630618633760773,0.1252352422853933,-0.01680920082571502,-0.14753260035796445,0.012903754057020489,0.21366437894609813,-0.04201025750140008,-0.242409615690099,-0.5,-1.0,0.11609504950195998,-2.430461538461538,-0.36231078173071707
1869-09-15,-0.4361471754585533,-0.40623004229859877,-0.38667227530355763,-0.86477548456294,-0.14215288734984322,0.019323671497584627,-0.36944236557931803,22.033898305084744,-0.010781170973272691,0.06688555627434711,0.17895390346112072,0.019323671497584627,-0.03927363687935237,0.14215288734984322,0.19180293466620535,-0.04458011873630807,-0.5,-0.5,0.10214340465350052,-1.4934038461538464,-0.2812222101776163
1869-09-22,-0.43480661062939646,-0.37512889478889233,-0.3798041935054121,-0.8641974586470929,-0.09301038374936321,0.053335152093848315,-0.34893539820438485,22.863741339491916,-0.05076894499929785,0.029096933552055892,0.19683818970861777,0.053335152093848315,-0.05134718274977379,0.09301038374936321,0.2608502254572067,0.023552901336642007,0.0,-0.5,0.10165135968158273,-1.3783461538461523,-0.27059763319879404
1869-09-29,-0.03828910777917589,0.443706934389013,-0.17378482061423015,-0.8636205905501456,0.04928867694948358,0.5575433159599947,-0.004192598607510052,45.07692307692307,-0.09881948395179707,-0.007155812435438169,0.6632069795427198,0.5575433159599947,-0.11817309718968527,-0.04928867694948358,0.8455869272852288,0.56876913363479,0.0,-0.5,0.05113632000769952,1.9416923076923087,0.08182192780031239
1869-10-06,0.41040608668890854,0.3241647479785369,-0.14817839216289488,-0.8630448764114881,0.20673915999151826,0.5586847537599529,0.08146191330742227,51.34511913912375,-0.16408869331689735,-0.14209905472157836,0.585332933413317,0.5586847537599529,-0.21684480205428702,-0.20673915999151826,0.8965324679049032,0.8168586505684525,0.0,-0.5,-0.005506993332534016,1.391403846153846,0.11942622303222616
1869-10-13,0.26280478839925187,-0.26378450953733656,-0.2702993906046475,-0.8624703123885098,0.19612198068706277,0.26928449480055905,-0.11139049144060337,37.71121351766513,-0.18355028820444086,-0.19235257213838797,0.0766192733017379,0.26928449480055905,-0.16326016421391099,-0.19612198068706277,0.318659628079244,0.5715824145706896,0.0,-0.5,0.013849414540607508,-1.0660769230769223,-0.09782189315186185
1869-10-20,0.22863391175624745,-0.39882606381434155,-0.30167573120076513,-0.861896894656492,0.1984671728167916,0.1822690638561686,-0.15883809020706519,34.76592478894858,-0.18360164735399942,-0.2250493304170016,-0.012173012173012365,0.1822690638561686,-0.1550830687389526,-0.1984671728167916,0.2099816034970865,0.5256055775683741,0.0,0.0,0.017969391658733735,-1.6397692307692306,-0.15521967544358783
1869-10-27,0.041546855670432536,-0.3752985482913943,-0.3109459848722951,-0.8613246194084992,0.13644491632329192,0.16170276774969938,-0.20131243547146083,31.36503067484663,-0.08301144317712394,-0.17362777915206373,-0.3015284435199421,0.16170276774969938,-0.020720414715604374,-0.13644491632329192,-0.23829850298232935,0.4057863253894014,0.0,0.0,0.0411258186374337,-1.561288461538462,-0.1737261901201942
1869-11-03,0.23882887584417814,-0.08228650320578552,-0.20579780346037552,-0.8607534828552738,0.17781054658700501,0.33683263347330517,-0.06589428893615774,41.0727969348659,-0.06670186550583634,-0.21984553687008157,-0.15674959795667398,0.33683263347330517,0.049842298907895044,-0.17781054658700501,-0.0964833520208872,0.7135486581849926,0.0,0.0,0.015640868429662724,-0.3925576923076921,0.0038117547036703447
1869-11-10,0.23364679392192025,-0.04216056930544761,-0.20619447561842674,-0.5804109331236903,0.15650920686232606,0.19497103738809907,-0.04060648997920322,43.03215926493109,-0.01978368409878528,-0.19970267138514852,0.10992907801418439,0.19497103738809907,0.008068167742058874,-0.15650920686232606,0.13233075190521704,0.4931588481700242,0.5,0.5,0.015915498605854728,-0.27198076923077075,-0.0020478966790816733
