counterparty,actor_category,crises,n_crises,n_transactions,total_amount,early_access,top_quartile_scale,intermediary_role,centrality_norm,recurrence_norm,cross_crisis_norm,information_channel_score
Paris & Tower,unknown,1847,1,2,11106.9,1,1,0,0.0011,0.0075,0.0,0.3513
Springfield Son & Co,unknown,1847,1,2,10093.5,1,1,0,0.001,0.0075,0.0,0.3513
George Lawrence,unknown,1857,1,2,11654.1,1,1,0,0.0011,0.0075,0.0,0.3513
John Anderson & Sons,unknown,1857,1,2,11817.6,1,1,0,0.0011,0.0075,0.0,0.3513
Duke & Hill,unknown,1847,1,2,5330.4,1,1,0,0.0005,0.0075,0.0,0.3512
R Real,unknown,1847,1,2,4517.6,1,1,0,0.0004,0.0075,0.0,0.3512
A Lindgren,unknown,1847,1,2,4354.6,1,1,0,0.0004,0.0075,0.0,0.3512
Barber Bros,unknown,1847,1,2,4972.6,1,1,0,0.0005,0.0075,0.0,0.3512
I.K. Gilliat & Co,unknown,1866,1,1,34348.5,1,1,0,0.0033,0.0038,0.0,0.3512
Cheswright S & Co,unknown,1847,1,2,4637.3,1,1,0,0.0004,0.0075,0.0,0.3512
Colonial Land,foreign_or_colonial_financial,1847,1,2,6460.0,1,1,0,0.0006,0.0075,0.0,0.3512
Nelson & Lancaster,unknown,1847,1,2,6142.5,1,1,0,0.0006,0.0075,0.0,0.3512
Walker,unknown,1847,1,2,4329.4,1,1,0,0.0004,0.0075,0.0,0.3512
Janner & Ward,unknown,1847,1,2,4614.2,1,1,0,0.0004,0.0075,0.0,0.3512
Cattley & Stephenson,unknown,1847,1,2,4435.5,1,1,0,0.0004,0.0075,0.0,0.3512
Rofsetto C & Co,unknown,1847,1,2,5224.1,1,1,0,0.0005,0.0075,0.0,0.3512
Kingsford & Lay,unknown,1847,1,2,5735.3,1,1,0,0.0006,0.0075,0.0,0.3512
W & J Woodley,unknown,1847,1,2,6529.0,1,1,0,0.0006,0.0075,0.0,0.3512
Bicken & Co,unknown,1857,1,1,25987.8,1,1,0,0.0025,0.0038,0.0,0.3511
Cocherell Larpeut & Co,unknown,1847,1,1,27999.5,1,1,0,0.0027,0.0038,0.0,0.3511
The Bank Of Egypt,foreign_or_colonial_financial,1866,1,1,27816.0,1,1,0,0.0027,0.0038,0.0,0.3511
Morgan Jnr & Ridge,merchant_bank,1847,1,2,929.1,1,0,1,0.0001,0.0075,0.0,0.3511
Thomas Phehan & Co,unknown,1857,1,1,26663.0,1,1,0,0.0026,0.0038,0.0,0.3511
James Bult Son & Co,unknown,1857,1,1,22803.6,1,1,0,0.0022,0.0038,0.0,0.351
A Lillen Son & Co,unknown,1857,1,1,22361.4,1,1,0,0.0022,0.0038,0.0,0.351
Atfu Heseundes & Co,unknown,1857,1,1,24414.1,1,1,0,0.0024,0.0038,0.0,0.351
Roger Cunliffe Son Co,unknown,1857,1,1,20000.0,1,1,0,0.0019,0.0038,0.0,0.351
J L Lensome & Co,unknown,1857,1,1,19390.8,1,1,0,0.0019,0.0038,0.0,0.351
Same Hawkey & Co,unknown,1866,1,1,20113.2,1,1,0,0.0019,0.0038,0.0,0.351
Gauge & Co,unknown,1857,1,1,19287.5,1,1,0,0.0019,0.0038,0.0,0.351
Semme & Co J L,unknown,1847,1,1,16378.9,1,1,0,0.0016,0.0038,0.0,0.3509
Arch & Hastic,unknown,1847,1,1,18456.0,1,1,0,0.0018,0.0038,0.0,0.3509
A Robertson,unknown,1847,1,1,16608.0,1,1,0,0.0016,0.0038,0.0,0.3509
Caraun Co,unknown,1847,1,1,18699.2,1,1,0,0.0018,0.0038,0.0,0.3509
The Egyptian Tribute,unknown,1866,1,1,13663.8,1,1,0,0.0013,0.0038,0.0,0.3508
A Hastie,unknown,1847,1,1,12690.0,1,1,0,0.0012,0.0038,0.0,0.3508
Gilliat & Co,unknown,1847,1,1,10363.5,1,1,0,0.001,0.0038,0.0,0.3508
Reed Georery Co,unknown,1847,1,1,14213.7,1,1,0,0.0014,0.0038,0.0,0.3508
"H. Rogess, Sons & Co",unknown,1866,1,1,9914.2,1,1,0,0.001,0.0038,0.0,0.3508
GB Nettle & Co,unknown,1847,1,1,9251.4,1,1,0,0.0009,0.0038,0.0,0.3508
T Prehn & Co,unknown,1857,1,1,13950.0,1,1,0,0.0013,0.0038,0.0,0.3508
C J Alambro & Son,unknown,1847,1,1,11711.6,1,1,0,0.0011,0.0038,0.0,0.3508
"Thomas, B L",unknown,1847,1,1,11171.9,1,1,0,0.0011,0.0038,0.0,0.3508
James Still & Sons,unknown,1866,1,1,14653.7,1,1,0,0.0014,0.0038,0.0,0.3508
Gaschen,unknown,1847,1,1,12338.4,1,1,0,0.0012,0.0038,0.0,0.3508
Edward Liddell Manager Of The Sheffield Union Banking Company,unknown,1857,1,1,13904.8,1,1,0,0.0013,0.0038,0.0,0.3508
J scheider & Co,unknown,1847,1,1,9746.9,1,1,0,0.0009,0.0038,0.0,0.3508
Melpuish G & Co,unknown,1847,1,1,11871.1,1,1,0,0.0011,0.0038,0.0,0.3508
Jt Docoson & Co,unknown,1857,1,1,13356.6,1,1,0,0.0013,0.0038,0.0,0.3508
"Catesworth, P Co",unknown,1847,1,1,9682.0,1,1,0,0.0009,0.0038,0.0,0.3508
Cotesworth & Powell,unknown,1866,1,1,14800.0,1,1,0,0.0014,0.0038,0.0,0.3508
P & C van Notten & Co,unknown,1847,1,1,10071.8,1,1,0,0.001,0.0038,0.0,0.3508
M Salmon B & Co,unknown,1847,1,1,11090.1,1,1,0,0.0011,0.0038,0.0,0.3508
Momson D L,unknown,1847,1,1,9450.6,1,1,0,0.0009,0.0038,0.0,0.3508
Ja Bull Sons Co,unknown,1857,1,1,8956.7,1,1,0,0.0009,0.0038,0.0,0.3508
Alexiadi Delta & Co,unknown,1857,1,1,8984.7,1,1,0,0.0009,0.0038,0.0,0.3508
R J Anderson,unknown,1847,1,1,9227.4,1,1,0,0.0009,0.0038,0.0,0.3508
Robert Badger,unknown,1857,1,1,15000.0,1,1,0,0.0014,0.0038,0.0,0.3508
Crewett & Co,unknown,1847,1,1,10120.4,1,1,0,0.001,0.0038,0.0,0.3508
Richard Little Co,unknown,1847,1,1,12986.9,1,1,0,0.0013,0.0038,0.0,0.3508
Gowen Neph Co,unknown,1847,1,1,9691.9,1,1,0,0.0009,0.0038,0.0,0.3508
W + A Riand & Co,unknown,1857,1,1,9450.0,1,1,0,0.0009,0.0038,0.0,0.3508
Crekerell & Co,unknown,1847,1,1,11595.7,1,1,0,0.0011,0.0038,0.0,0.3508
Rrid Jimmy Co,unknown,1847,1,1,9434.9,1,1,0,0.0009,0.0038,0.0,0.3508
M C Calmont Bros & Co,unknown,1847,1,1,11362.9,1,1,0,0.0011,0.0038,0.0,0.3508
Shern Bros,unknown,1847,1,1,9696.6,1,1,0,0.0009,0.0038,0.0,0.3508
R Eghntin Co,unknown,1847,1,1,9403.1,1,1,0,0.0009,0.0038,0.0,0.3508
T. Courtauld & Co,unknown,1866,1,1,14527.7,1,1,0,0.0014,0.0038,0.0,0.3508
Jas Hill & Sons,unknown,1847,1,1,10916.1,1,1,0,0.0011,0.0038,0.0,0.3508
Dienis B & Co,unknown,1847,1,1,13440.7,1,1,0,0.0013,0.0038,0.0,0.3508
Allen,unknown,1847,1,1,9844.6,1,1,0,0.001,0.0038,0.0,0.3508
E Lohrab,unknown,1847,1,1,9600.0,1,1,0,0.0009,0.0038,0.0,0.3508
D Coutauld & Co,unknown,1847,1,1,12686.2,1,1,0,0.0012,0.0038,0.0,0.3508
Junnes Coster Co,unknown,1847,1,1,9609.4,1,1,0,0.0009,0.0038,0.0,0.3508
Afillem Son Co,unknown,1847,1,1,11704.9,1,1,0,0.0011,0.0038,0.0,0.3508
Ranson Co,unknown,1847,1,1,4750.0,1,1,0,0.0005,0.0038,0.0,0.3507
Rob & Lowe & Co,unknown,1847,1,1,5014.2,1,1,0,0.0005,0.0038,0.0,0.3507
L J Entheren & Co,unknown,1847,1,1,5145.2,1,1,0,0.0005,0.0038,0.0,0.3507
Priget & Co,unknown,1847,1,1,6843.8,1,1,0,0.0007,0.0038,0.0,0.3507
Rio & Co,unknown,1847,1,1,7391.0,1,1,0,0.0007,0.0038,0.0,0.3507
Bence B & Co,unknown,1847,1,1,6734.2,1,1,0,0.0007,0.0038,0.0,0.3507
Reed Groery Co,unknown,1847,1,1,8750.4,1,1,0,0.0008,0.0038,0.0,0.3507
