counterparty,actor_category,crises,n_crises,n_transactions,total_amount,information_channel_score,spans_cable
H Thompson CC,unknown,1847,1,4,379.0,0.2023,no
R Chuter,unknown,1847,1,4,3338.0,0.2023,no
Jos Holl & Co,unknown,1847,1,4,1505.3,0.2023,no
Eyre & Spottiswoode,unknown,1866,1,4,2768.7,0.2023,no
Escourt & Stanley,unknown,1866,1,4,4033.5,0.2023,no
H. D. Baleh,unknown,1866,1,4,758.9,0.2023,no
Leaf Barnett & Co,unknown,1847,1,4,1773.9,0.2023,no
Naylor Benyon Co Ld,unknown,1914,1,3,25469.7,0.2022,no
S .Japhet Co,unknown,1914,1,2,48500.0,0.2021,no
S.Barrow & Bro Ltd,unknown,1914,1,3,19449.5,0.2021,no
T.O. Stock & Co,unknown,1866,1,3,7800.0,0.2019,no
W. Muggeridge & Co,unknown,1866,1,3,7850.7,0.2019,no
G & J Prince,unknown,1857,1,3,3485.7,0.2018,no
Mangles Brothers,unknown,1857,1,3,5458.1,0.2018,no
I. W. Cripps,unknown,1866,1,3,5757.9,0.2018,no
"Dae La Rue Thomas, & Co",unknown,1857,1,3,6051.8,0.2018,no
Rowley & Davies,unknown,1866,1,3,6817.8,0.2018,no
I Isaacs,unknown,1857,1,3,2847.2,0.2018,no
G Johnson & Co,unknown,1847,1,3,3039.7,0.2018,no
J H Randall,unknown,1857,1,3,3632.4,0.2018,no
Sevidet Mayer & Co,unknown,1857,1,3,6937.4,0.2018,no
Hartman & Mallet,unknown,1866,1,3,6218.3,0.2018,no
T. De La Rue & Co,unknown,1866,1,3,3610.1,0.2018,no
N. C. Frank & Sons,unknown,1866,1,3,3243.8,0.2018,no
T. Husband & Co,unknown,1866,1,3,4057.1,0.2018,no
Ditchburn & Mare,unknown,1847,1,3,2622.6,0.2018,no
Horne & Watney,unknown,1857,1,3,7420.9,0.2018,no
Green Humphry & Co,unknown,1866,1,3,3546.8,0.2018,no
Venables Wilson & Co,unknown,1847,1,3,3100.6,0.2018,no
H P Rouquette & Co,unknown,1857,1,3,6517.9,0.2018,no
J & W Hoolon,unknown,1847,1,3,2599.9,0.2018,no
"Hanson, Smiths & Stephens",unknown,1866,1,3,4856.1,0.2018,no
Gunning & Duarell,unknown,1866,1,3,4382.6,0.2018,no
W Smee & Sons,unknown,1857,1,3,3144.8,0.2018,no
Pomsford Southall & Co,unknown,1866,1,3,5887.0,0.2018,no
Thomas Walker,unknown,1866,1,3,4010.8,0.2018,no
Brandram Bros,unknown,1847,1,3,4007.9,0.2018,no
W & J Lowndes & Co,unknown,1847,1,3,2927.6,0.2018,no
Simon & Carey,unknown,1857,1,3,7330.5,0.2018,no
Thomas Severs,unknown,1847,1,3,2723.4,0.2018,no
Novelli & Co,unknown,1866,1,3,7181.6,0.2018,no
George Walker,unknown,1866,1,3,4050.0,0.2018,no
Morlet + Horne,unknown,1857,1,3,5747.0,0.2018,no
A. Salomons,unknown,1866,1,3,5245.5,0.2018,no
Rob Muter,unknown,1847,1,3,2684.0,0.2018,no
Forman & Hadon,unknown,1847,1,3,319.0,0.2017,no
Hore + Gifford,unknown,1857,1,3,2388.7,0.2017,no
J Cockburn & Co,unknown,1847,1,3,1425.0,0.2017,no
C Tauntlory,unknown,1857,1,3,1800.0,0.2017,no
P. Abraham,unknown,1866,1,3,1071.0,0.2017,no
Chas Armstrong,unknown,1847,1,3,1357.2,0.2017,no
Joseph Tetley & Co,unknown,1866,1,3,2316.6,0.2017,no
"Meares, Absolom & Co",unknown,1866,1,3,998.0,0.2017,no
Rob Christie & Co,unknown,1847,1,3,1902.1,0.2017,no
Geo Houghton & Sons,unknown,1847,1,3,250.2,0.2017,no
P Davey & Sons,unknown,1857,1,3,2475.3,0.2017,no
T. Hodgekinson & Co,unknown,1866,1,3,1872.5,0.2017,no
G. E Macketh,unknown,1866,1,3,368.5,0.2017,no
T Wiggin & Co,unknown,1847,1,3,1919.0,0.2017,no
Wornersley & Co,unknown,1847,1,3,1835.4,0.2017,no
T M Waters,unknown,1857,1,3,2152.4,0.2017,no
Favell & Beddome,unknown,1847,1,3,1830.8,0.2017,no
J H Noding,unknown,1847,1,3,2350.7,0.2017,no
Geo Simmons,unknown,1847,1,3,494.2,0.2017,no
Oliver & Carr,unknown,1866,1,3,1252.7,0.2017,no
Heitz & Deveze,unknown,1866,1,3,2015.6,0.2017,no
J McCutcheon,unknown,1847,1,3,0.0,0.2017,no
W Watts,unknown,1847,1,3,337.7,0.2017,no
Parker Hine & Co,unknown,1857,1,3,2146.9,0.2017,no
Resta Moore,unknown,1857,1,3,1362.5,0.2017,no
David Brown,unknown,1847,1,3,944.6,0.2017,no
N B Gurney & Sons,unknown,1847,1,3,931.5,0.2017,no
Donaldson Laubert & Co,unknown,1847,1,3,0.0,0.2017,no
John Cape,unknown,1847,1,3,1494.2,0.2017,no
Cradock & Co,unknown,1847,1,3,0.0,0.2017,no
John Reay Sons & Co,unknown,1857,1,3,2149.1,0.2017,no
Thomas Reynolds Jnr,unknown,1847,1,3,866.6,0.2017,no
John Riaff Sons & Co,unknown,1857,1,3,2017.1,0.2017,no
W Learmouth & Co,unknown,1847,1,3,2462.7,0.2017,no
Tho Biggs,unknown,1857,1,3,198.0,0.2017,no
Lutwyike & Guys,unknown,1847,1,3,1069.5,0.2017,no
Paul & Dastis,unknown,1847,1,3,2113.2,0.2017,no
H Lancaster & Bull,unknown,1857,1,3,2135.5,0.2017,no
Stephen Evans & Co,unknown,1866,1,3,2232.4,0.2017,no
Standring Brothers,unknown,1857,1,3,2530.8,0.2017,no
C Heaton & Co,unknown,1847,1,3,0.0,0.2017,no
R Halls M L,unknown,1847,1,3,1615.9,0.2017,no
Alex Webber & Co,unknown,1866,1,3,1972.1,0.2017,no
London & Liverpool Bank Of Commerce Ltd,clearing_or_joint_stock_bank,1914,1,2,26964.1,0.2016,no
Page & Welch,unknown,1866,1,2,6909.9,0.2013,no
Judah Hard & Co,unknown,1866,1,2,7284.4,0.2013,no
C Leary & Co,unknown,1857,1,2,7450.2,0.2013,no
I T W Noakes,unknown,1857,1,2,6773.8,0.2013,no
Poutus Kleman,unknown,1866,1,2,7440.0,0.2013,no
J Carter & Co,unknown,1857,1,2,7272.1,0.2013,no
"Jacomb, Hogg & Co",unknown,1866,1,2,7701.4,0.2013,no
J Maurenbrecher & Co,unknown,1857,1,2,5038.2,0.2012,no
Jno Kendall,unknown,1847,1,2,2287.1,0.2012,no
Field & Sons,unknown,1866,1,2,3428.2,0.2012,no
Swonnell Samuel & Son,unknown,1866,1,2,2327.4,0.2012,no
Arthur Lewis,unknown,1847,1,2,2835.0,0.2012,no
C Faintling,unknown,1857,1,2,2272.5,0.2012,no
S. W. Silver & Co,unknown,1866,1,2,2599.1,0.2012,no
J Mathew M L,unknown,1847,1,2,1669.9,0.2012,no
David Lloyd & Co,unknown,1866,1,2,2563.6,0.2012,no
J Main Sons & Co,unknown,1857,1,2,3622.6,0.2012,no
W. H. Hindley,unknown,1866,1,2,2358.5,0.2012,no
J & N Smith,unknown,1847,1,2,2611.9,0.2012,no
J & C Ratliff,unknown,1847,1,2,3908.0,0.2012,no
W Speir & Co,unknown,1847,1,2,2531.4,0.2012,no
D Lloyd,unknown,1857,1,2,5115.3,0.2012,no
"Dunbar, Dicksons & Co",unknown,1866,1,2,3806.3,0.2012,no
Dufay & Isnard,unknown,1866,1,2,1915.3,0.2012,no
Inglis & Wakefield,unknown,1866,1,2,6023.5,0.2012,no
John Fore & Co,unknown,1857,1,2,3919.6,0.2012,no
Cripps & Starkey,unknown,1857,1,2,2621.2,0.2012,no
A Dimitris & Sons,unknown,1857,1,2,1610.3,0.2012,no
Favell Beddome & Co,unknown,1857,1,2,2829.6,0.2012,no
Washington & Davies,unknown,1857,1,2,1631.3,0.2012,no
John Boyd,unknown,1866,1,2,1722.4,0.2012,no
Thomas Stephens & Co,unknown,1866,1,2,6210.4,0.2012,no
Jnr Leas & Son,unknown,1847,1,2,2947.7,0.2012,no
Elvlvhisther,unknown,1847,1,2,1827.5,0.2012,no
C Fauntheory,unknown,1847,1,2,1859.1,0.2012,no
Tevan Kamon & Son,unknown,1857,1,2,2678.1,0.2012,no
Thackrah L & Co,unknown,1847,1,2,2160.3,0.2012,no
F Giesler & Co,unknown,1847,1,2,2312.0,0.2012,no
It Tixcsen & Co,unknown,1857,1,2,2669.6,0.2012,no
Cutler & Barker,unknown,1866,1,2,1956.5,0.2012,no
Ruck Fenwick & Ruck,unknown,1857,1,2,4778.4,0.2012,no
L Bisset & Co,unknown,1857,1,2,3109.1,0.2012,no
W Vaughan & Co,unknown,1857,1,2,5791.4,0.2012,no
Lapton Hootond & Co,unknown,1857,1,2,2867.1,0.2012,no
Bidgorddons & Co,unknown,1857,1,2,2545.3,0.2012,no
"Judah, Hart & Co",unknown,1866,1,2,2414.4,0.2012,no
Wn De Hacelles,unknown,1857,1,2,6151.8,0.2012,no
Wm Oliver & Sons Ltd,unknown,1914,1,2,5238.3,0.2012,no
P Ruckham,unknown,1847,1,2,1719.9,0.2012,no
Te Blatsphiel,unknown,1857,1,2,2005.3,0.2012,no
Boyson & Hoyer,unknown,1847,1,2,3367.6,0.2012,no
"Locke, Crosier & Edwards",unknown,1866,1,2,1631.3,0.2012,no
"Bidgood, Jones & Wilson",unknown,1866,1,2,3865.6,0.2012,no
Middleton Answorth & Co,unknown,1866,1,2,5199.2,0.2012,no
"Porter, Schlusser & Co",unknown,1866,1,2,2760.0,0.2012,no
Rowley & Co,unknown,1847,1,2,2912.5,0.2012,no
Southall & Ponsford,unknown,1857,1,2,2417.4,0.2012,no
Kemp Stone & Co,unknown,1866,1,2,4294.3,0.2012,no
Buckler Woolbright,unknown,1866,1,2,5173.3,0.2012,no
"Grierson, Cole & Co.",unknown,1866,1,2,1674.2,0.2012,no
Hocking Hitchock & Co,unknown,1866,1,2,4293.6,0.2012,no
Shield & Harwood,unknown,1847,1,2,1595.0,0.2012,no
Smith & Lister,unknown,1866,1,2,5980.7,0.2012,no
J. Hughes & Co,unknown,1866,1,2,1654.5,0.2012,no
Balls Garrett,unknown,1866,1,2,1807.1,0.2012,no
Gunning + Luarell,unknown,1857,1,2,1694.2,0.2012,no
Seys Mason & Co,unknown,1847,1,2,2229.8,0.2012,no
Gottschalch & Schrade,unknown,1847,1,2,1843.2,0.2012,no
Burr Brother & Co,unknown,1866,1,2,2388.5,0.2012,no
W Clowes & Co,unknown,1847,1,2,2823.4,0.2012,no
Clode & Baker,unknown,1866,1,2,6336.4,0.2012,no
Tambouru & Bell,unknown,1847,1,2,1925.1,0.2012,no
Bridgewater Jones & Co,unknown,1866,1,2,1169.8,0.2011,no
J Udall,unknown,1847,1,2,390.6,0.2011,no
J Urwich & Sons,unknown,1847,1,2,1546.9,0.2011,no
John Wood C S,unknown,1847,1,2,415.8,0.2011,no
Joseph Callinson,unknown,1857,1,2,663.4,0.2011,no
J. W Laird,unknown,1866,1,2,839.4,0.2011,no
Rouney Bruce & Co,unknown,1847,1,2,1128.8,0.2011,no
R & W J Roxby,unknown,1847,1,2,1128.0,0.2011,no
C. E. Heinke,unknown,1866,1,2,329.9,0.2011,no
"John Reay, Sons Co",unknown,1866,1,2,637.4,0.2011,no
S Houghton & Son,unknown,1847,1,2,166.9,0.2011,no
Isaac Walker,unknown,1847,1,2,755.5,0.2011,no
George Wyatt,unknown,1857,1,2,61.1,0.2011,no
I. W. Horsley,unknown,1866,1,2,610.3,0.2011,no
I. E. Coleman,unknown,1857,1,2,1091.7,0.2011,no
Preacher Osborne & Co,unknown,1847,1,2,918.7,0.2011,no
J. Samuel & Emmanuel,unknown,1866,1,2,52.6,0.2011,no
William Horn,unknown,1847,1,2,813.5,0.2011,no
R J + R Swift,unknown,1857,1,2,178.6,0.2011,no
A B Byass,unknown,1847,1,2,141.0,0.2011,no
F. Dunhill,unknown,1866,1,2,105.8,0.2011,no
Borker Sons & Co,unknown,1847,1,2,0.0,0.2011,no
Jas Rundall,unknown,1847,1,2,227.1,0.2011,no
William Howell & Co,unknown,1847,1,2,411.1,0.2011,no
Jh Macku,unknown,1857,1,2,1409.0,0.2011,no
J. P. Thol & Co,unknown,1866,1,2,656.8,0.2011,no
R & N Nicholls,unknown,1847,1,2,489.9,0.2011,no
Bl Leman,unknown,1857,1,2,310.0,0.2011,no
Rob & Simmons,unknown,1847,1,2,577.5,0.2011,no
Jr Browne,unknown,1857,1,2,238.1,0.2011,no
J P Thal & Co,unknown,1857,1,2,780.0,0.2011,no
Robert Adams,unknown,1866,1,2,0.0,0.2011,no
R A Coward,unknown,1847,1,2,1422.4,0.2011,no
S Swonnell & Son,unknown,1857,1,2,888.0,0.2011,no
Eady & Paris,unknown,1866,1,2,344.6,0.2011,no
Bier & Partner,unknown,1857,1,2,173.9,0.2011,no
M L Magnus,unknown,1847,1,2,366.2,0.2011,no
J Lias & Son,unknown,1847,1,2,464.3,0.2011,no
J H Dart,unknown,1857,1,2,402.5,0.2011,no
P J Meugsino,unknown,1857,1,2,1046.5,0.2011,no
J F Stanford,unknown,1847,1,2,96.0,0.2011,no
J H & G Scovell,unknown,1847,1,2,1197.6,0.2011,no
J Cousens & Sons,unknown,1847,1,2,374.1,0.2011,no
W B Hine Parker & Co,unknown,1847,1,2,963.0,0.2011,no
Samuel Strickland,unknown,1866,1,2,198.6,0.2011,no
J Burls,unknown,1847,1,2,584.2,0.2011,no
T & W H Hirst,unknown,1847,1,2,881.0,0.2011,no
J Boys,unknown,1847,1,2,429.5,0.2011,no
Sayant Fridor Co,unknown,1847,1,2,945.0,0.2011,no
J & W Rider,unknown,1866,1,2,87.9,0.2011,no
J & W McCutcheon,unknown,1847,1,2,411.4,0.2011,no
Alfred Towgood,unknown,1857,1,2,312.9,0.2011,no
Thomas Drayton,unknown,1857,1,2,23.4,0.2011,no
Sam & Vickers,unknown,1847,1,2,188.1,0.2011,no
Sam Magnus,unknown,1847,1,2,1388.3,0.2011,no
Tr Browne,unknown,1857,1,2,179.5,0.2011,no
Beaudsell & Jackson,unknown,1866,1,2,1238.6,0.2011,no
Bailey & Fox,unknown,1847,1,2,1517.1,0.2011,no
W E Eddison,unknown,1857,1,2,929.6,0.2011,no
Henckell Du Buisson Co,unknown,1914,1,2,1175.5,0.2011,no
Thomas Nelson & Son,unknown,1866,1,2,1207.9,0.2011,no
A L Crohn,unknown,1857,1,2,489.0,0.2011,no
Union Life,unknown,1847,1,2,1524.5,0.2011,no
W Jenkinson,unknown,1866,1,2,565.5,0.2011,no
A Jackson & Co,unknown,1857,1,2,418.7,0.2011,no
H Erswell,unknown,1847,1,2,1454.3,0.2011,no
L Friedeberg,unknown,1847,1,2,259.0,0.2011,no
E W Whistler,unknown,1847,1,2,1230.0,0.2011,no
Thomas Fielding,unknown,1847,1,2,321.8,0.2011,no
T Dunhill,unknown,1857,1,2,198.2,0.2011,no
G. B. Yates & Son,unknown,1866,1,2,775.7,0.2011,no
G F Gaubert,unknown,1847,1,2,1017.3,0.2011,no
J. Hubbard & Co,unknown,1866,1,1,6900.0,0.2007,no
Tamvaco Michrulachi,unknown,1857,1,1,5762.3,0.2007,no
Truman Hitchcock & Co,unknown,1866,1,1,7045.3,0.2007,no
Lom Bunudti Soms & Co,unknown,1866,1,1,5906.4,0.2007,no
John Dickensgill & Son,unknown,1857,1,1,6003.9,0.2007,no
A Jarohai,unknown,1857,1,1,5197.5,0.2007,no
L. Brusewitz,unknown,1866,1,1,4700.0,0.2007,no
H Ballin & Son,unknown,1857,1,1,5000.0,0.2007,no
Frangopulo Agelasto Co,unknown,1866,1,1,7426.0,0.2007,no
H Butler & Son,unknown,1857,1,1,7428.8,0.2007,no
J. Tenny Clarke & Co,unknown,1866,1,1,5620.3,0.2007,no
Morley Nephew & Co,unknown,1857,1,1,5852.2,0.2007,no
Barry & Nephews,unknown,1866,1,1,4700.0,0.2007,no
Sillem & Co,unknown,1866,1,1,5085.8,0.2007,no
Robert Campbell,unknown,1866,1,1,5700.3,0.2007,no
J G Marzetti,unknown,1847,1,1,0.0,0.2006,no
Jinchess & Pawtucket,unknown,1847,1,1,202.0,0.2006,no
H.C. Heut,unknown,1866,1,1,2345.3,0.2006,no
James Simott,unknown,1847,1,1,0.0,0.2006,no
Jas Holl & Co,unknown,1847,1,1,977.8,0.2006,no
Jas Hall & Co,unknown,1847,1,1,467.5,0.2006,no
Jas Chambers,unknown,1847,1,1,508.8,0.2006,no
Janner & Son,unknown,1847,1,1,2240.0,0.2006,no
Jameson M & M,unknown,1847,1,1,2850.0,0.2006,no
HY Crosley,unknown,1847,1,1,0.0,0.2006,no
Jas Jacobson,unknown,1847,1,1,160.7,0.2006,no
James Mullins & Co,unknown,1857,1,1,1709.3,0.2006,no
Hall Jos & Co,unknown,1847,1,1,597.2,0.2006,no
Harley Nephew & Co,unknown,1857,1,1,1669.8,0.2006,no
James Laurence,unknown,1857,1,1,0.0,0.2006,no
Alex Jones,unknown,1847,1,1,817.4,0.2006,no
Havenith & Co,unknown,1857,1,1,3870.0,0.2006,no
J. L. Minel,unknown,1866,1,1,165.4,0.2006,no
J & B Peade & Co,unknown,1866,1,1,1314.1,0.2006,no
J. H. Dant,unknown,1866,1,1,376.0,0.2006,no
J T Thol & Co,unknown,1847,1,1,850.5,0.2006,no
J Frederick Son & Co,unknown,1847,1,1,1611.2,0.2006,no
James Dicke,unknown,1847,1,1,2721.6,0.2006,no
James Duke,unknown,1847,1,1,1942.0,0.2006,no
M F Mackenzie,unknown,1866,1,1,188.0,0.2006,no
Inglis Wakefield,unknown,1857,1,1,978.1,0.2006,no
Hen Geoff,unknown,1857,1,1,1549.8,0.2006,no
Castello,unknown,1847,1,1,2007.4,0.2006,no
J T Burrell,unknown,1847,1,1,362.8,0.2006,no
Charles & Jof,unknown,1857,1,1,533.0,0.2006,no
"Chas Hancock, C S",unknown,1847,1,1,646.0,0.2006,no
Calchesters & Woolman,unknown,1857,1,1,247.4,0.2006,no
Fox & Thompson,unknown,1866,1,1,341.3,0.2006,no
Joshun Saunders,unknown,1847,1,1,754.1,0.2006,no
Jt Dow,unknown,1857,1,1,516.9,0.2006,no
Henckell Du Buisson & Co,unknown,1866,1,1,3807.0,0.2006,no
James Cerram,unknown,1847,1,1,177.7,0.2006,no
James Brys,unknown,1847,1,1,327.8,0.2006,no
Henry Rilli,unknown,1847,1,1,285.0,0.2006,no
James Brokke,unknown,1847,1,1,194.0,0.2006,no
Heppans & Co,unknown,1847,1,1,1010.8,0.2006,no
Hicks Baylis & Hicks,unknown,1857,1,1,2552.4,0.2006,no
Jacob Isaac,unknown,1866,1,1,1945.8,0.2006,no
Hit Dellators,unknown,1857,1,1,3964.3,0.2006,no
Hl Crohn,unknown,1857,1,1,94.5,0.2006,no
Alex Stewart & W,unknown,1847,1,1,1406.2,0.2006,no
Hodgson & Poweis,unknown,1847,1,1,52.0,0.2006,no
Hoine Wahney,unknown,1857,1,1,2976.8,0.2006,no
Hune P C,unknown,1847,1,1,693.6,0.2006,no
I Hart & Co,unknown,1847,1,1,0.0,0.2006,no
J Greaves,unknown,1847,1,1,0.0,0.2006,no
J+G Boyd & Co,unknown,1847,1,1,3937.5,0.2006,no
J H N Loundes & Co,unknown,1857,1,1,1374.0,0.2006,no
Geo Stevenson Sons,unknown,1847,1,1,1455.0,0.2006,no
J W Gibbon,unknown,1857,1,1,378.0,0.2006,no
J D Park,unknown,1857,1,1,2019.0,0.2006,no
Jno Gilliat & Co,unknown,1847,1,1,0.0,0.2006,no
Jno Gore & Co,unknown,1847,1,1,1634.9,0.2006,no
Jno James,unknown,1847,1,1,101.6,0.2006,no
Gb Oyates & Son,unknown,1857,1,1,819.3,0.2006,no
Geden W H,unknown,1847,1,1,970.0,0.2006,no
Jones Alex,unknown,1847,1,1,242.5,0.2006,no
Geo Keen,unknown,1847,1,1,945.0,0.2006,no
Geo Noughton & Sons,unknown,1847,1,1,0.0,0.2006,no
Geo Stevenson & Sons,unknown,1847,1,1,2425.9,0.2006,no
Jonail Turner & Co,unknown,1847,1,1,0.0,0.2006,no
J Simpson,unknown,1857,1,1,217.3,0.2006,no
Anick & Son,unknown,1847,1,1,1311.3,0.2006,no
Giesler & Co F,unknown,1847,1,1,1387.1,0.2006,no
Gillson Cole & Co,unknown,1866,1,1,0.0,0.2006,no
"Gilmour, Rankin, Strang & Co",unknown,1866,1,1,1305.5,0.2006,no
John Walker WW,unknown,1847,1,1,312.6,0.2006,no
Gould Dowre & M,unknown,1847,1,1,3670.7,0.2006,no
John Smith,unknown,1866,1,1,186.0,0.2006,no
Gallespie M C,unknown,1847,1,1,2880.0,0.2006,no
G. & S. Kiteat,unknown,1914,1,1,408.4,0.2006,no
G Friend,unknown,1857,1,1,0.0,0.2006,no
Joseph Gonalaie,unknown,1857,1,1,94.5,0.2006,no
J W Laird,unknown,1847,1,1,0.0,0.2006,no
J Draeon & Co,unknown,1847,1,1,1855.0,0.2006,no
J nr Lilley,unknown,1847,1,1,163.2,0.2006,no
J+A Crocker,unknown,1847,1,1,2100.9,0.2006,no
J H Pelly,unknown,1847,1,1,0.0,0.2006,no
J Sharp,unknown,1847,1,1,133.9,0.2006,no
J H Potter,unknown,1847,1,1,0.0,0.2006,no
J Hart & Son,unknown,1847,1,1,3940.5,0.2006,no
J Laussense,unknown,1847,1,1,282.0,0.2006,no
J Lausseure Jnr,unknown,1847,1,1,0.0,0.2006,no
J Lheais & Sons,unknown,1847,1,1,1605.6,0.2006,no
J Meier,unknown,1847,1,1,357.1,0.2006,no
J Tharp,unknown,1847,1,1,405.8,0.2006,no
Alfred Stram,unknown,1866,1,1,110.9,0.2006,no
J Usbounr J M,unknown,1847,1,1,3583.9,0.2006,no
J W Courtman,unknown,1847,1,1,3306.0,0.2006,no
Alich Bros,unknown,1847,1,1,977.6,0.2006,no
J Brocker,unknown,1847,1,1,536.8,0.2006,no
J Bunn,unknown,1847,1,1,410.1,0.2006,no
J C Jacobson,unknown,1847,1,1,235.0,0.2006,no
J. Bennock & Co,unknown,1866,1,1,1862.1,0.2006,no
J. Ballauce & Son,unknown,1866,1,1,40.4,0.2006,no
J C Shackleton,unknown,1847,1,1,141.8,0.2006,no
Jno Fettham & Co,unknown,1847,1,1,262.2,0.2006,no
J D Dow,unknown,1857,1,1,139.5,0.2006,no
J Dickinson J & A,unknown,1847,1,1,0.0,0.2006,no
Caran Bros,unknown,1847,1,1,2362.5,0.2006,no
Carlthian & Corbierie,unknown,1857,1,1,488.2,0.2006,no
C J Ellis,unknown,1847,1,1,598.5,0.2006,no
Mae Jontque Buchanan & Co,unknown,1857,1,1,808.0,0.2006,no
F Nalker & Co,unknown,1847,1,1,2171.7,0.2006,no
L Engstrom Neame & Co,unknown,1857,1,1,3110.5,0.2006,no
L Harris & Sons,unknown,1847,1,1,2956.9,0.2006,no
Alex & Jones,unknown,1847,1,1,950.0,0.2006,no
E Zohrab,unknown,1847,1,1,1633.0,0.2006,no
E. H. Keeling & Son,unknown,1866,1,1,3225.1,0.2006,no
Edward Johnson,unknown,1847,1,1,1920.0,0.2006,no
B Faurntheroy,unknown,1847,1,1,935.0,0.2006,no
B Douglas & Son,unknown,1847,1,1,0.0,0.2006,no
Engstom L Co,unknown,1847,1,1,2371.0,0.2006,no
Lawton & Bichnell,unknown,1847,1,1,1880.0,0.2006,no
F Dean Leller,unknown,1847,1,1,1489.6,0.2006,no
F Falt,unknown,1847,1,1,123.5,0.2006,no
F J Montoya,unknown,1857,1,1,651.0,0.2006,no
L Walker W W,unknown,1847,1,1,2565.0,0.2006,no
L Spartali & L,unknown,1847,1,1,3163.5,0.2006,no
L R & N Browning & Co,unknown,1847,1,1,1771.8,0.2006,no
F Mutvrieff,unknown,1847,1,1,935.0,0.2006,no
F E Blatspiel,unknown,1847,1,1,2299.2,0.2006,no
Edward Sparkhall,unknown,1857,1,1,945.0,0.2006,no
Loveing & Minton,unknown,1866,1,1,0.0,0.2006,no
London S N Coy Limited,unknown,1866,1,1,1398.7,0.2006,no
Messrs Berkefeld,unknown,1857,1,1,920.0,0.2006,no
Brochoff & Sons,unknown,1847,1,1,1642.5,0.2006,no
L Engstown Leach & Co,unknown,1847,1,1,1256.8,0.2006,no
L Engstown L & Co,unknown,1847,1,1,2862.3,0.2006,no
Bieber & Co.,unknown,1866,1,1,2005.0,0.2006,no
F Siesler & Co,unknown,1847,1,1,1482.0,0.2006,no
Jphn Prince,unknown,1847,1,1,349.7,0.2006,no
Delennory & Co,unknown,1847,1,1,1808.7,0.2006,no
E Beach Sons & Co,unknown,1857,1,1,1138.7,0.2006,no
B Tippen,unknown,1847,1,1,0.0,0.2006,no
B L Lomant,unknown,1857,1,1,0.0,0.2006,no
B Leloa & Son,unknown,1847,1,1,3218.7,0.2006,no
DeVANS,unknown,1847,1,1,4007.0,0.2006,no
Lionel Friedeberg,unknown,1847,1,1,0.0,0.2006,no
Deichaiu Smart & Co,unknown,1847,1,1,0.0,0.2006,no
Culverwell Brooks Co,unknown,1914,1,1,3589.0,0.2006,no
E Downs & Co,unknown,1857,1,1,724.8,0.2006,no
J P Bunt & Co,unknown,1866,1,1,0.0,0.2006,no
B Halberth & Sons,unknown,1857,1,1,900.0,0.2006,no
Jw Silmer & Co,unknown,1857,1,1,3821.6,0.2006,no
Finze & Williams,unknown,1847,1,1,607.2,0.2006,no
Ashby Morris Ltd,unknown,1914,1,1,2335.8,0.2006,no
Alex Bros,unknown,1847,1,1,1643.4,0.2006,no
Kielsalls & Co,unknown,1847,1,1,1340.5,0.2006,no
Fauntt & B,unknown,1847,1,1,0.0,0.2006,no
Faudel & Phillips,unknown,1857,1,1,1624.5,0.2006,no
Faster Porter & Co,unknown,1847,1,1,2040.4,0.2006,no
F.T. Barry,unknown,1866,1,1,1995.6,0.2006,no
L Busson & Co,unknown,1857,1,1,1724.7,0.2006,no
Blogg Vellantini,unknown,1857,1,1,3442.5,0.2006,no
Bidgood Jones & Wilson,unknown,1857,1,1,966.4,0.2006,no
Butterworth & Sons,unknown,1857,1,1,417.6,0.2006,no
BCJ Gray & Son,unknown,1847,1,1,980.2,0.2006,no
Closley Vepher & Co,unknown,1857,1,1,2332.3,0.2006,no
Cittanerck C S,unknown,1847,1,1,803.2,0.2006,no
Chs Brischek,unknown,1847,1,1,1272.9,0.2006,no
Lornman & Hadon,unknown,1847,1,1,0.0,0.2006,no
Christopher Armstrong,unknown,1847,1,1,1589.5,0.2006,no
Chris Cokes Jnr,unknown,1847,1,1,1551.0,0.2006,no
Chrales & Fox,unknown,1847,1,1,486.7,0.2006,no
Albers & Son,unknown,1847,1,1,499.7,0.2006,no
Lovegrove & Leather,unknown,1847,1,1,1310.7,0.2006,no
Fould Dowir & M,unknown,1847,1,1,1531.8,0.2006,no
Chester & Co,unknown,1847,1,1,2078.1,0.2006,no
Lut & George,unknown,1857,1,1,2417.4,0.2006,no
Luys M C,unknown,1847,1,1,1064.0,0.2006,no
Lyse Sons,unknown,1847,1,1,1940.0,0.2006,no
Chas Watton & Sons,unknown,1857,1,1,1124.5,0.2006,no
M Cape,unknown,1847,1,1,282.0,0.2006,no
M Causens & Sons,unknown,1847,1,1,0.0,0.2006,no
Mata,unknown,1847,1,1,2835.0,0.2006,no
C Jamtterey,unknown,1857,1,1,1890.0,0.2006,no
C Shudbolt & Co,unknown,1847,1,1,227.0,0.2006,no
Akmagaroff & Gasparian,unknown,1857,1,1,0.0,0.2006,no
C. Lloyd & Co,unknown,1866,1,1,2192.1,0.2006,no
Magnus M L,unknown,1847,1,1,314.3,0.2006,no
Bandier Tobias & Co,unknown,1857,1,1,2436.2,0.2006,no
Beauvaisen + Leannard,unknown,1857,1,1,950.7,0.2006,no
Millie & Palton,unknown,1847,1,1,370.5,0.2006,no
