series,date,nearest_crisis,days_to_crisis_peak
reserve_ratio_weekly,1869-09-29,1866,1237
reserve_ratio_weekly,1869-11-03,1866,1272
reserve_ratio_weekly,1869-12-08,1866,1307
reserve_ratio_weekly,1870-01-12,1866,1342
reserve_ratio_weekly,1870-02-16,1866,1377
reserve_ratio_weekly,1870-07-06,1866,1517
reserve_ratio_weekly,1870-08-10,1866,1552
reserve_ratio_weekly,1870-09-14,1866,1587
reserve_ratio_weekly,1870-10-19,1866,1622
reserve_ratio_weekly,1870-11-23,1866,1657
reserve_ratio_weekly,1870-12-28,1866,1692
reserve_ratio_weekly,1871-02-01,1866,1727
reserve_ratio_weekly,1871-03-08,1866,1762
reserve_ratio_weekly,1871-04-12,1866,1797
reserve_ratio_weekly,1871-05-17,1866,1832
reserve_ratio_weekly,1871-06-21,1866,1867
reserve_ratio_weekly,1871-07-26,1866,1902
reserve_ratio_weekly,1871-08-30,1866,1937
reserve_ratio_weekly,1871-10-04,1866,1972
reserve_ratio_weekly,1871-11-08,1866,2007
reserve_ratio_weekly,1871-12-13,1866,2042
reserve_ratio_weekly,1872-02-21,1866,2112
reserve_ratio_weekly,1872-03-27,1866,2147
reserve_ratio_weekly,1872-05-01,1866,2182
reserve_ratio_weekly,1872-06-05,1866,2217
reserve_ratio_weekly,1872-07-10,1866,2252
reserve_ratio_weekly,1872-08-14,1866,2287
reserve_ratio_weekly,1872-09-18,1866,2322
reserve_ratio_weekly,1872-10-23,1866,2357
reserve_ratio_weekly,1872-11-27,1866,2392
reserve_ratio_weekly,1873-01-01,1866,2427
reserve_ratio_weekly,1873-02-05,1866,2462
reserve_ratio_weekly,1873-03-12,1866,2497
reserve_ratio_weekly,1873-04-16,1866,2532
reserve_ratio_weekly,1873-05-21,1866,2567
reserve_ratio_weekly,1873-06-25,1866,2602
reserve_ratio_weekly,1873-07-30,1866,2637
reserve_ratio_weekly,1873-09-03,1866,2672
reserve_ratio_weekly,1873-10-08,1866,2707
reserve_ratio_weekly,1873-11-12,1866,2742
reserve_ratio_weekly,1873-12-17,1866,2777
reserve_ratio_weekly,1874-01-21,1866,2812
reserve_ratio_weekly,1874-02-25,1866,2847
reserve_ratio_weekly,1874-04-01,1866,2882
reserve_ratio_weekly,1874-05-06,1866,2917
reserve_ratio_weekly,1874-06-10,1866,2952
reserve_ratio_weekly,1874-08-19,1866,3022
reserve_ratio_weekly,1874-09-23,1866,3057
reserve_ratio_weekly,1874-10-28,1866,3092
reserve_ratio_weekly,1874-12-02,1866,3127
reserve_ratio_weekly,1875-01-06,1866,3162
reserve_ratio_weekly,1875-02-10,1866,3197
reserve_ratio_weekly,1875-03-17,1866,3232
reserve_ratio_weekly,1875-04-21,1866,3267
reserve_ratio_weekly,1875-05-26,1866,3302
reserve_ratio_weekly,1875-06-30,1866,3337
reserve_ratio_weekly,1875-08-04,1866,3372
reserve_ratio_weekly,1875-09-08,1866,3407
reserve_ratio_weekly,1875-10-13,1866,3442
reserve_ratio_weekly,1875-11-17,1866,3477
reserve_ratio_weekly,1875-12-22,1866,3512
reserve_ratio_weekly,1876-01-26,1866,3547
reserve_ratio_weekly,1876-03-01,1866,3582
reserve_ratio_weekly,1876-04-05,1866,3617
reserve_ratio_weekly,1876-05-10,1866,3652
reserve_ratio_weekly,1876-06-14,1866,3687
reserve_ratio_weekly,1876-07-19,1866,3722
reserve_ratio_weekly,1876-08-23,1866,3757
reserve_ratio_weekly,1876-09-27,1866,3792
reserve_ratio_weekly,1876-11-01,1866,3827
reserve_ratio_weekly,1876-12-06,1866,3862
reserve_ratio_weekly,1877-01-10,1866,3897
reserve_ratio_weekly,1877-03-21,1866,3967
reserve_ratio_weekly,1877-04-25,1866,4002
reserve_ratio_weekly,1877-05-30,1866,4037
reserve_ratio_weekly,1877-07-04,1866,4072
reserve_ratio_weekly,1877-08-08,1866,4107
reserve_ratio_weekly,1877-09-12,1866,4142
reserve_ratio_weekly,1877-10-17,1866,4177
reserve_ratio_weekly,1877-11-21,1866,4212
reserve_ratio_weekly,1877-12-24,1866,4245
reserve_ratio_weekly,1878-01-30,1866,4282
