counterparty_clean,actor_category,class_confidence,n_transactions,total_amount,crises
Reid Irving & Co,unknown,0.2,13,201072.755,1847
Bieber & Co,unknown,0.2,33,199628.25,"1857,1866"
Streatfield Laurence & Co,unknown,0.2,25,199265.145,1857
Castellain Sons & Co,unknown,0.2,32,198883.85499999998,1847
Palmer McKillop D & C,unknown,0.2,22,198432.29249999998,1847
Ralli & Mavrajani,unknown,0.2,47,198345.63749999998,1847
Commercial Bank Of Scotland Ltd,foreign_or_colonial_financial,0.7,9,198264.05,1914
Sampson Mitchell & Co,unknown,0.2,14,197230.97499999998,"1847,1857"
Arbuthnol Latham & Co,unknown,0.2,28,197114.06,1847
R. Raphael & Sons,merchant_bank,0.85,8,196899.61,"1866,1914"
W & J Devas & Co,unknown,0.2,36,196429.8625,"1847,1866"
Robarts Lubbock Co,unknown,0.2,5,196156.94999999998,1914
Gregson & Co,unknown,0.2,24,193928.57,1847
Jas Lang,unknown,0.2,48,192731.07499999998,1847
Steven Brothers,unknown,0.2,6,190961.58,1866
Crawford C & Co,unknown,0.2,24,190776.965,1847
Perkins Schlusser & Co,unknown,0.2,40,188293.86,1847
Finlay Hodgson & Co,merchant_bank,0.85,15,187381.305,1847
R Heine Semon & Co,unknown,0.2,23,186549.8,1857
Anglo Austrian Bank,foreign_or_colonial_financial,0.7,2,186328.24999999997,1914
Cama & Co,unknown,0.2,29,186056.995,1857
Heywood & Co,unknown,0.2,3,184334.55,1857
C I Hambro & Son,merchant_bank,0.85,8,184145.33,1857
Cavan Bros & Co,unknown,0.2,37,182987.435,1847
Spartali & Lascaridi,unknown,0.2,26,175937.44,1847
Martin'S Bank Ltd,clearing_or_joint_stock_bank,0.7,15,175712.94999999998,1914
George Peabody,unknown,0.2,25,175048.205,1847
Imp Merchant Credit Limited,unknown,0.2,4,175000.0,1866
H W Eaton,unknown,0.2,42,174993.3775,"1847,1857"
"Naylor, Benzon & Co",unknown,0.2,12,172539.02,1866
P T Ralli,unknown,0.2,42,170952.45,1857
R. Cunliffe Son & Co,unknown,0.2,4,170000.0,1866
J Hubbard & Co,unknown,0.2,22,169768.635,"1847,1857"
Sheppard Pelly & Co,unknown,0.2,4,169500.0,1866
Bischoffsheim & Goldschmidt,merchant_bank,0.85,12,169437.43,"1857,1866"
The Bornes Co Limited,unknown,0.2,5,168410.2,1866
Trueman & Cook,unknown,0.2,15,168231.4975,1847
B S & J Phillips & Co,unknown,0.2,22,167561.34,"1857,1866"
Holford & Co,unknown,0.2,30,167489.16,1847
C J Hambro & Son,merchant_bank,0.85,16,163819.345,1847
R Cunliffe Son & Co,unknown,0.2,10,162713.865,1857
E Sieveking & Son,unknown,0.2,38,162402.2775,"1847,1857"
L Alexander & Co,unknown,0.2,34,161964.6,1847
Commercial Banking Co. Of Of Sydney Ltd,unknown,0.2,5,161863.85,1914
Bell & Grant,unknown,0.2,54,160747.715,"1847,1857,1866"
Schilizzi & Co,unknown,0.2,54,160608.66999999998,"1847,1857,1866"
James Hill & Sons,unknown,0.2,11,159327.395,"1857,1866"
"Quenene, Furney & Co",unknown,0.2,2,157927.13,1857
J F Pawson & Co,unknown,0.2,25,157632.885,1847
David Evans,unknown,0.2,38,156935.6975,1847
Scott Bell & Co,unknown,0.2,19,156252.87,1847
R Eglinton & Co,unknown,0.2,26,156221.91,1847
Joseph Allard,unknown,0.2,28,155957.85,1866
H L & C Edwards & Co,unknown,0.2,35,152424.26499999998,"1847,1857,1866"
De Mattos & De Leon,unknown,0.2,34,149963.75999999998,1847
Cotesworth & Powell & Co,unknown,0.2,24,148759.865,1847
Small & Co,unknown,0.2,18,148091.245,"1847,1857,1866"
J. C. Im Thurm & Co,unknown,0.2,12,146127.56,1866
Union Bank Of Canada,clearing_or_joint_stock_bank,0.7,7,142161.3675,1914
Lon Lpool Bk Of Comce,unknown,0.2,12,141767.55,1914
Collmann & Son,unknown,0.2,15,138921.595,1847
Rawson & Norton & Co,unknown,0.2,38,138142.36,1847
A Goldsmid,unknown,0.2,21,137619.9,1847
Baltazzi & P,unknown,0.2,22,136712.495,1847
Drewett & Fowler,unknown,0.2,10,135981.205,1847
