counterparty_clean,canonical_counterparty,match_method,similarity_score,manual_review_required,cluster_id
Butterworth & Sons,Butterworth & Sons,exact,100,False,161
Byass & Son,Byass & Son,exact,100,False,162
Byfield & Richards,Byfield & Richards,exact,100,False,163
C & S Grimmrade,C & S Grimmrade,exact,100,False,164
C A Jonas & Co,C A Jonas & Co,exact,100,False,165
C C Williams,C C Williams,exact,100,False,166
C David & Co,C David & Co,exact,100,False,167
C E Fireman,C E Fireman,exact,100,False,168
C Faintling,C Faintling,exact,100,False,169
C Fauntleroy,C Fauntleroy,exact,100,False,170
C H Olivier,C H Olivier,exact,100,False,171
C Henry,C Henry,exact,100,False,172
C I Hambro & Son,C I Hambro & Son,exact,100,False,173
C Jamtterey,C Jamtterey,exact,100,False,174
C Leary & Co,C Leary & Co,exact,100,False,175
C Sutherland & Co,C Sutherland & Co,exact,100,False,176
C Tauntlory,C Tauntlory,exact,100,False,177
C Tottie & Sons,C Tottie & Sons,exact,100,False,178
C Walton & Sons,C Walton & Sons,exact,100,False,179
C. & C. I. Coles,C. & C. I. Coles,exact,100,False,180
C. Bailey,C. Bailey,exact,100,False,181
C. Candy & Co,C. Candy & Co,exact,100,False,182
C. E. Heinke,C. E. Heinke,exact,100,False,183
C. H. Noble,C. H. Noble,exact,100,False,184
C. Lloyd & Co,C. Lloyd & Co,exact,100,False,185
C.J.Hambro & Son,C I Hambro & Son,rapidfuzz_token_set_ratio,91,True,173
Calchesters & Woolman,Calchesters & Woolman,exact,100,False,186
Caldecott & Sons W,"Caldecott, Sons & Willcocks",rapidfuzz_token_set_ratio,91,True,187
"Caldecott, Sons & Willcocks","Caldecott, Sons & Willcocks",exact,100,False,187
Cama & Co,Cama & Co,exact,100,False,188
Canadian Bank Of Commerce,Canadian Bank Of Commerce,exact,100,False,189
Capital & Counties Bank Ltd,Capital & Counties Bank Ltd,exact,100,False,190
Carlthian & Corbierie,Carlthian & Corbierie,exact,100,False,191
Carneille David & Co,Carneille David & Co,exact,100,False,192
Carr & Hoare,Carr & Hoare,exact,100,False,193
Carvalho & Brother,Carvalho Brother & Co,rapidfuzz_token_set_ratio,100,False,194
Carvalho Brother & Co,Carvalho Brother & Co,exact,100,False,194
Cash + Ledgard,Cash + Ledgard,exact,100,False,195
Castelli Brothers,Castelli Brothers,exact,100,False,196
Cater Greenwell & Co,Cater Greenwell & Co,exact,100,False,197
Cavan Brothers & Co,Cavan Brothers & Co,exact,100,False,198
Cha Heinery,Cha Heinery,exact,100,False,199
Chaffey & Son,Chaffey & Son,exact,100,False,200
Charles & Fox,Charles & Fox,exact,100,False,201
Charles & Jof,Charles & Jof,exact,100,False,202
